"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
1999	3	4.9	8.9	92	8	18	98	29	9	5	7	2	26	11	7	3	13	3	10	1	6	2	2	1
1999	4	0.2	8.6	87	17	11	97	30	15	2	9	1	18	8	11	6	17	5	15	6	2	0	4	2
1999	5	2.7	8.6	86	18	9	76	11	8	2	2	0	14	4	6	0	23	0	6	0	4	2	5	1
1999	6	-3.2	2.5	87	28	6	83	25	12	1	11	3	17	6	6	4	9	2	1	0	6	2	9	1
1999	7	1.8	6	87	26	22	86	26	12	4	12	7	13	5	4	0	15	1	6	2	4	1	9	1
1999	8	2.5	7.5	86	21	18	82	19	10	0	17	5	7	3	0	0	4	0	6	1	3	0	6	0
1999	9	3.6	7.3	91	12	45	94	22	3	2	14	2	23	6	2	1	9	2	7	1	2	2	9	0
1999	10	1.2	5.8	86	16	11	97	16	10	5	5	1	11	0	7	0	24	0	11	5	9	1	7	1
1999	11	3.4	7.4	82	15	13	103	26	14	3	8	0	29	7	6	2	13	9	13	3	5	1	3	0
1999	12	4.3	11.4	87	20	14	87	23	13	3	10	9	18	4	9	0	19	3	5	1	4	2	4	0
1999	13	8.1	16.1	69	57	3	64	8	6	0	5	0	11	1	7	0	10	0	3	0	0	0	9	2
1999	14	8.1	13.8	85	23	8	74	14	11	4	15	2	10	0	8	4	14	0	2	2	7	1	4	0
1999	15	4.8	9.1	78	25	27	95	18	9	0	11	2	12	8	5	0	11	0	5	0	5	0	12	1
1999	16	7.9	15.8	72	56	4	93	9	6	0	19	4	13	1	2	0	7	0	8	0	3	1	8	0
1999	17	9.1	17.2	62	74	0	77	15	7	1	5	0	17	7	1	1	16	0	6	0	3	0	9	1
1999	18	9.4	16.2	62	69	7	97	21	19	4	3	0	19	7	7	0	16	1	11	2	10	2	2	2
1999	19	8.2	15.2	81	30	27	78	20	11	1	10	3	12	3	5	0	12	5	11	3	4	1	1	0
1999	20	12.6	20.5	62	78	4	95	19	9	3	7	5	22	2	8	0	22	1	6	2	1	0	4	1
1999	21	13.4	24.1	71	66	7	74	21	9	1	9	3	12	6	7	2	19	3	5	2	0	0	6	1
1999	22	12.6	18.6	77	51	32	93	39	11	0	12	8	10	4	10	9	7	1	1	0	7	2	18	5
1999	23	12.9	18.7	79	52	38	101	46	8	2	22	14	18	13	4	0	13	4	13	7	2	0	6	3
1999	24	14.6	21.3	72	78	17	91	36	6	5	6	2	24	5	0	0	9	2	7	2	4	1	12	2
1999	25	12.7	20.5	72	66	22	86	47	10	4	4	1	15	8	2	0	20	9	7	6	5	1	7	5
1999	26	15.7	22	81	41	18	82	50	7	5	6	2	20	14	5	4	17	9	8	3	9	8	0	0
1999	27	17.5	25.5	64	85	12	90	52	16	10	7	5	19	10	4	4	9	2	15	7	1	0	3	3
1999	28	17.6	26.7	72	63	20	87	55	12	9	11	8	8	5	11	6	22	8	3	3	2	2	7	5
1999	29	17.3	26.1	76	59	16	81	50	12	10	11	5	14	9	4	3	8	6	6	6	0	0	9	3
1999	30	17.7	26.9	58	92	1	97	76	8	8	14	11	17	14	11	11	16	10	2	1	7	7	11	9
1999	31	20	27.8	56	79	11	88	58	5	4	12	11	17	13	3	3	15	7	4	3	6	6	14	3
1999	32	15.6	22.3	74	44	34	84	55	11	10	5	3	14	8	2	2	22	9	2	2	9	5	7	7
1999	33	14.7	20.6	73	54	29	82	55	8	3	1	1	27	17	4	2	11	9	7	3	2	2	3	1
1999	34	15.8	21.7	69	58	5	84	73	17	16	11	9	14	10	5	4	12	9	4	4	8	8	1	1
1999	35	16.2	24.3	70	58	10	88	68	7	7	14	10	21	13	2	1	9	6	15	13	0	0	2	2
1999	36	17.6	24.6	70	62	0	82	51	17	7	8	7	4	4	15	14	16	4	3	2	0	0	10	6
1999	37	15.9	22.4	73	39	7	97	57	11	6	14	10	14	10	5	4	15	7	6	4	6	2	1	1
1999	38	15.7	20.8	87	28	44	108	70	8	5	10	8	22	17	5	5	18	4	10	8	3	1	18	14
1999	39	12.9	17.5	87	23	73	93	56	7	4	11	6	16	12	7	6	18	12	6	2	6	6	11	4
1999	40	10.5	15.4	83	33	23	83	55	14	10	5	3	20	12	1	0	17	12	2	2	9	5	4	3
1999	41	8.6	14.2	73	44	4	88	53	7	4	9	4	16	10	6	6	11	3	9	2	5	2	7	6
1999	42	7.3	11.1	83	19	9	74	40	11	5	4	3	21	14	3	2	12	6	3	2	6	3	1	0
1999	43	10.1	13.8	86	25	9	102	34	19	5	7	5	18	8	9	4	13	0	12	7	0	0	6	2
1999	44	8.9	14	87	15	5	89	32	13	1	16	11	5	2	7	0	19	7	10	5	3	0	5	4
1999	45	5.5	11.1	86	26	2	93	26	6	1	11	3	19	8	5	3	13	0	7	0	4	1	8	2
1999	46	1.6	5.4	84	12	11	100	27	8	5	14	1	11	2	6	5	17	2	5	1	3	0	17	7
1999	47	5.8	9.9	93	3	8	95	27	10	2	9	2	23	9	3	0	13	7	7	6	11	0	7	0
1999	48	3.9	10.1	87	11	40	87	23	10	3	12	1	21	2	3	1	14	2	3	0	5	0	6	2
1999	49	5.2	9.5	92	6	42	77	35	8	2	6	3	19	12	6	5	16	3	3	1	3	0	3	2
1999	50	0.1	6	90	10	18	87	18	16	1	2	0	24	2	4	0	15	0	9	5	0	0	4	1
1999	51	1.6	7.3	93	11	39	86	25	14	3	8	1	6	1	5	0	13	4	14	9	5	2	3	0
1999	52	1.7	6.4	96	5	7	71	20	3	1	7	1	18	11	10	2	12	3	7	0	3	0	5	0
2000	1	4.3	7.5	92	15	10	93	23	6	0	20	5	12	4	4	3	17	3	2	0	2	2	13	3
2000	2	3.2	7.6	92	9	9	91	31	12	3	9	4	9	1	6	3	10	2	6	1	5	0	11	6
2000	3	0.9	8.3	77	26	3	97	18	6	1	12	1	28	2	5	4	14	1	5	5	10	2	0	0
2000	4	3	7.9	89	12	31	92	22	11	2	6	3	18	8	3	0	14	3	7	3	6	1	4	1
2000	5	5.2	8.4	90	15	15	76	21	17	4	5	0	17	8	4	2	11	1	4	4	3	0	6	2
2000	6	4.4	7.2	88	14	25	84	15	9	1	4	1	26	4	5	1	8	2	9	0	4	1	4	1
2000	7	1.3	6.6	86	23	15	94	21	10	1	5	0	17	4	7	0	19	5	5	2	4	0	9	2
2000	8	3	8.2	85	24	14	94	20	8	1	19	5	14	6	5	1	20	2	10	1	2	1	4	2
2000	9	3.5	8.5	77	28	25	81	19	10	3	6	0	9	2	5	3	17	5	7	0	2	1	16	4
2000	10	3.9	9	85	12	24	106	25	10	1	14	8	16	1	10	4	13	1	7	6	7	0	7	4
2000	11	3.8	8.8	77	24	8	80	22	11	3	11	0	15	5	5	2	6	1	3	2	6	1	4	0
2000	12	4.7	11.8	78	32	12	73	21	10	3	5	0	15	3	1	0	10	3	5	2	8	2	4	0
2000	13	3.8	10.2	78	30	3	85	19	12	2	6	1	24	9	8	2	16	1	5	1	3	0	2	0
2000	14	5.3	12.8	66	49	5	95	13	7	0	10	1	20	2	3	0	16	0	10	5	5	2	7	0
2000	15	5.9	10.7	77	23	11	94	12	10	3	3	0	14	2	4	1	22	2	10	0	1	1	6	1
2000	16	9.7	17.6	78	33	17	64	7	6	3	17	0	10	0	5	1	12	2	4	0	4	0	3	0
2000	17	12.9	23.7	75	54	8	77	16	7	0	3	0	8	2	9	1	9	2	9	4	3	0	25	7
2000	18	12.3	19.7	62	74	0	96	24	12	5	20	7	21	2	0	0	13	3	4	2	3	1	12	2
2000	19	14	23.3	48	103	0	86	17	12	2	6	0	14	0	10	3	10	0	4	2	8	1	0	0
2000	20	13.3	26.1	66	68	12	81	19	12	0	8	2	13	7	4	1	15	2	3	0	9	0	2	2
2000	21	11.7	16.6	74	44	37	78	24	12	3	1	0	23	9	7	3	14	3	7	3	0	0	3	1
2000	22	10.8	17	74	54	13	83	31	3	0	11	6	14	6	4	1	16	4	11	1	4	4	4	3
2000	23	13.1	22.8	73	59	14	97	40	6	4	11	8	16	7	3	2	13	1	13	5	6	3	6	2
2000	24	13.1	20.5	67	64	1	72	43	14	11	13	10	12	9	2	2	14	2	7	4	0	0	5	3
2000	25	17.3	29.1	72	63	21	82	40	6	3	8	5	11	3	6	5	11	7	7	4	3	3	23	7
2000	26	12.6	19.3	77	32	8	100	45	16	11	11	7	21	7	5	4	13	1	8	3	4	0	13	6
2000	27	14.4	22.7	68	59	10	92	47	17	12	8	3	11	5	10	3	17	5	3	0	7	5	1	0
2000	28	14.1	20.2	74	54	17	79	46	9	6	1	0	10	6	2	0	16	12	8	4	6	2	3	2
2000	29	15.4	23.3	77	45	6	102	36	5	0	7	2	33	20	4	3	20	4	10	4	2	1	3	1
2000	30	16.2	22.8	80	28	8	76	25	7	3	14	3	9	5	14	5	7	1	4	1	3	1	6	2
2000	31	15.7	21.4	77	44	14	98	55	5	3	9	3	16	8	2	1	19	14	15	5	7	5	12	9
2000	32	14.7	21.3	70	52	6	82	50	11	6	15	14	13	8	1	1	11	5	5	2	2	2	13	6
2000	33	16.3	23.5	74	44	16	93	56	16	12	10	7	18	11	3	2	14	8	6	5	8	5	11	2
2000	34	14.8	21.9	63	67	4	85	46	14	9	5	4	20	6	3	3	13	7	4	2	4	2	12	7
2000	35	13.9	20	76	37	27	92	55	13	3	10	6	3	2	12	9	9	5	9	5	5	3	2	0
2000	36	13.6	19.1	72	35	14	89	42	6	5	8	6	25	11	1	1	20	7	6	3	2	2	0	0
2000	37	13.1	17.6	81	19	32	81	30	8	3	7	3	14	7	7	4	15	3	9	5	3	1	4	1
2000	38	12	17.6	69	54	0	86	36	6	1	9	5	18	9	14	7	17	3	6	4	4	2	3	1
2000	39	13.5	20.6	82	37	10	95	44	8	2	12	11	16	9	2	0	12	4	12	2	5	5	15	5
2000	40	11.7	17	83	27	13	84	39	14	6	19	15	12	7	1	1	10	3	6	0	2	2	14	4
2000	41	10.3	14.9	87	20	13	95	35	18	7	4	4	16	7	3	1	13	5	5	2	11	6	13	2
2000	42	11.2	15.4	86	20	2	89	38	7	1	10	2	16	10	3	3	13	2	9	2	8	3	7	5
2000	43	10.6	15.1	86	18	47	88	37	9	3	9	2	9	3	11	7	20	3	2	0	0	0	4	2
2000	44	7.9	11.8	86	16	37	82	14	8	2	5	1	19	1	3	3	18	5	9	0	3	1	2	0
2000	45	8	10	89	7	33	85	17	6	1	10	2	24	3	1	1	9	2	8	2	2	1	2	1
2000	46	6.2	9.8	92	13	26	83	26	12	2	9	2	11	1	11	6	13	3	5	0	5	3	8	5
2000	47	6.1	8.5	92	9	9	101	40	15	5	12	6	18	9	10	6	12	5	14	2	5	3	8	1
