"weeknr" "total_meas" "pos_meas"
"319" 319 56 20
"320" 320 60 22
"321" 321 55 16
"322" 322 58 16
"323" 323 52 4
"324" 324 63 7
"325" 325 62 7
"326" 326 49 12
"327" 327 40 2
"328" 328 41 13
"329" 329 60 7
"330" 330 56 3
"331" 331 57 6
"332" 332 53 8
"333" 333 50 5
"334" 334 57 10
"335" 335 47 17
"336" 336 18 3
"337" 337 65 29
"338" 338 57 24
"339" 339 34 16
"340" 340 89 44
"341" 341 65 26
"342" 342 55 11
"343" 343 60 24
"344" 344 62 28
"345" 345 56 29
"346" 346 69 53
"347" 347 33 22
"348" 348 74 53
"349" 349 56 41
"350" 350 55 34
"351" 351 57 32
"352" 352 51 28
"353" 353 58 29
"354" 354 38 16
"355" 355 66 9
"356" 356 57 27
"357" 357 55 11
"358" 358 58 8
"359" 359 57 8
"360" 360 54 18
"361" 361 55 9
"362" 362 64 9
"363" 363 63 16
"364" 364 46 10
"365" 365 31 6
"366" 366 48 12
"367" 367 61 4
"368" 368 53 11
"369" 369 56 9
"370" 370 65 12
"371" 371 54 6
"372" 372 48 10
"373" 373 54 3
"374" 374 57 13
"375" 375 56 7
"376" 376 56 11
"377" 377 50 5
"378" 378 43 4
"379" 379 54 10
"380" 380 54 12
"381" 381 58 2
"382" 382 49 7
"383" 383 47 6
"384" 384 46 6
"385" 385 72 3
"386" 386 66 11
"387" 387 54 12
"388" 388 59 19
"389" 389 64 32
"390" 390 55 12
"391" 391 61 19
"392" 392 61 29
"393" 393 59 32
"394" 394 56 40
"395" 395 59 41
"396" 396 59 46
"397" 397 53 32
"398" 398 61 25
"399" 399 62 27
"400" 400 49 22
"401" 401 63 39
"402" 402 60 47
"403" 403 56 29
"404" 404 60 18
"405" 405 60 29
"406" 406 50 15
"407" 407 45 16
"408" 408 40 14
"409" 409 41 17
"410" 410 48 14
"411" 411 51 19
"412" 412 44 5
"413" 413 52 8
"414" 414 39 1
"415" 415 44 5
"416" 416 38 14
"417" 417 22 3
"418" 418 48 2
"419" 419 41 5
"420" 420 76 9
"421" 421 72 7
"422" 422 68 13
"423" 423 79 13
"424" 424 60 6
"425" 425 68 9
"426" 426 84 13
"427" 427 78 13
"428" 428 94 16
"429" 429 80 6
"430" 430 86 10
"431" 431 80 13
"432" 432 70 12
"433" 433 53 7
"434" 434 82 3
"435" 435 69 10
"436" 436 82 7
"437" 437 63 9
"438" 438 67 6
"439" 439 71 11
"440" 440 63 10
"441" 441 72 12
"442" 442 76 15
"443" 443 75 20
"444" 444 76 35
"445" 445 64 45
"446" 446 66 39
"447" 447 60 46
"448" 448 62 45
"449" 449 73 51
"450" 450 74 40
"451" 451 77 50
"452" 452 71 57
"453" 453 66 39
"454" 454 66 30
"455" 455 70 38
"456" 456 71 29
"457" 457 75 31
"458" 458 78 41
"459" 459 62 35
"460" 460 73 21
"461" 461 66 15
"462" 462 67 27
"463" 463 79 15
"464" 464 84 30
"465" 465 70 25
"466" 466 40 8
"467" 467 44 6
"468" 468 32 15
"469" 469 15 5
"470" 470 28 5
"471" 471 37 9
"472" 472 36 11
"473" 473 43 12
"474" 474 41 12
"475" 475 41 14
"476" 476 39 7
"477" 477 44 6
"478" 478 41 9
"479" 479 49 9
"480" 480 44 5
"481" 481 39 4
"482" 482 36 5
"483" 483 31 4
"484" 484 27 5
"485" 485 47 3
"486" 486 44 5
"487" 487 34 4
